"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"sm31"," 8.505"," 6.950"," 2.365"," 0.695"," 0.515"," 8.730","16.400","21.400","25.900","17.850","10.150"," 8.625"
"sm32","14.500","14.800","13.800","13.100"," 9.125"," 9.180"," 6.735"," 6.675"," 4.525"," 3.070"," 5.350"," 7.645"
"sm33","16.00","13.80","17.00","35.60","24.55","15.80","14.55","14.80","16.30","19.00","17.20","17.90"
"sm34","12.050","10.100"," 8.330"," 7.545"," 5.635"," 5.695"," 8.295"," 4.430"," 2.470"," 1.665"," 2.225"," 3.845"
"sm35"," 4.685"," 4.360"," 4.305"," 7.355","33.200","53.650","23.750","12.200"," 8.655"," 7.190"," 6.790"," 5.465"
"sm36","111.50"," 59.80"," 67.50","153.00","176.00","102.50"," 32.85"," 11.05"," 13.60"," 71.50","124.00"," 70.40"
"sm37"," 8.380","10.500"," 9.330","11.550","13.600"," 8.490"," 5.765"," 5.530"," 5.245"," 3.500"," 5.125"," 7.005"
"sm38","11.350","12.000","12.700","11.300"," 9.250","13.900"," 8.065"," 7.025"," 3.980"," 2.485"," 3.565"," 6.750"
"sm40","55.100","51.100","19.400","25.950"," 6.800"," 4.625"," 2.165"," 1.580"," 1.635"," 3.825","14.150","37.200"
"sm41","20.700","19.300","15.800","15.350","11.400"," 9.020","10.450"," 6.775"," 7.375"," 7.655","12.650","19.950"
"sm42","138.50"," 95.20","101.50","137.50"," 65.65"," 34.00"," 16.70"," 10.80"," 10.60"," 58.85"," 83.35","105.50"
"sm43"," 5.680"," 6.550","12.750","12.650","11.700"," 7.235"," 4.965"," 2.615"," 2.985"," 4.715"," 4.090"," 4.620"
"sm44","34.90","39.90","35.65","31.70","23.50","22.40","15.60","12.60","10.60","10.20","13.00","17.95"
"sm45","27.150","36.400","29.950","31.950","16.950","16.650","13.150"," 9.600"," 9.255"," 8.520","14.300","16.200"
